user_id;post_id;comment_id;reaction_type;created_at
21;1;NULL;'sad';2025-04-16 15:30:21
50;1;NULL;'sad';2025-04-16 15:30:21
24;1;NULL;'sad';2025-04-16 15:30:21
4;1;NULL;'wow';2025-04-16 15:30:21
16;1;NULL;'sad';2025-04-16 15:30:21
5;1;NULL;'wow';2025-04-16 15:30:21
12;1;NULL;'love';2025-04-16 15:30:21
19;1;NULL;'angry';2025-04-16 15:30:21
46;NULL;1;'wow';2025-04-16 15:30:21
16;NULL;1;'like';2025-04-16 15:30:21
48;NULL;1;'haha';2025-04-16 15:30:21
48;NULL;1;'angry';2025-04-16 15:30:21
6;NULL;1;'sad';2025-04-16 15:30:21
37;NULL;1;'angry';2025-04-16 15:30:21
21;NULL;1;'haha';2025-04-16 15:30:21
30;NULL;1;'like';2025-04-16 15:30:21
1;NULL;1;'sad';2025-04-16 15:30:21
19;NULL;2;'angry';2025-04-16 15:30:21
22;NULL;3;'haha';2025-04-16 15:30:21
26;NULL;3;'wow';2025-04-16 15:30:21
17;NULL;3;'haha';2025-04-16 15:30:21
44;NULL;3;'sad';2025-04-16 15:30:21
41;NULL;3;'wow';2025-04-16 15:30:21
22;NULL;4;'angry';2025-04-16 15:30:21
38;NULL;4;'angry';2025-04-16 15:30:21
14;NULL;4;'love';2025-04-16 15:30:21
41;NULL;4;'love';2025-04-16 15:30:21
42;NULL;4;'angry';2025-04-16 15:30:21
35;NULL;5;'like';2025-04-16 15:30:21
20;NULL;5;'like';2025-04-16 15:30:21
49;NULL;5;'angry';2025-04-16 15:30:21
16;NULL;5;'sad';2025-04-16 15:30:21
7;NULL;5;'angry';2025-04-16 15:30:21
19;NULL;5;'like';2025-04-16 15:30:21
22;NULL;5;'haha';2025-04-16 15:30:21
37;NULL;5;'angry';2025-04-16 15:30:21
35;NULL;5;'angry';2025-04-16 15:30:21
50;NULL;6;'wow';2025-04-16 15:30:21
43;NULL;6;'angry';2025-04-16 15:30:21
31;NULL;6;'sad';2025-04-16 15:30:21
35;NULL;7;'sad';2025-04-16 15:30:21
8;NULL;7;'wow';2025-04-16 15:30:21
3;2;NULL;'love';2025-04-16 15:30:21
40;2;NULL;'wow';2025-04-16 15:30:21
40;2;NULL;'love';2025-04-16 15:30:21
13;2;NULL;'angry';2025-04-16 15:30:21
28;2;NULL;'angry';2025-04-16 15:30:21
21;NULL;8;'haha';2025-04-16 15:30:21
36;NULL;8;'sad';2025-04-16 15:30:21
17;NULL;8;'like';2025-04-16 15:30:21
45;NULL;9;'angry';2025-04-16 15:30:21
29;NULL;10;'angry';2025-04-16 15:30:21
50;NULL;10;'like';2025-04-16 15:30:21
9;NULL;10;'wow';2025-04-16 15:30:21
35;NULL;10;'like';2025-04-16 15:30:21
34;NULL;10;'like';2025-04-16 15:30:21
36;NULL;11;'haha';2025-04-16 15:30:21
12;NULL;11;'like';2025-04-16 15:30:21
22;NULL;11;'love';2025-04-16 15:30:21
45;NULL;11;'sad';2025-04-16 15:30:21
2;3;NULL;'haha';2025-04-16 15:30:21
9;3;NULL;'sad';2025-04-16 15:30:21
29;3;NULL;'love';2025-04-16 15:30:21
47;3;NULL;'sad';2025-04-16 15:30:21
49;3;NULL;'sad';2025-04-16 15:30:21
33;NULL;12;'sad';2025-04-16 15:30:21
11;NULL;12;'haha';2025-04-16 15:30:21
6;NULL;12;'wow';2025-04-16 15:30:21
31;NULL;13;'like';2025-04-16 15:30:21
27;NULL;14;'haha';2025-04-16 15:30:21
21;NULL;14;'angry';2025-04-16 15:30:21
9;NULL;14;'angry';2025-04-16 15:30:21
41;NULL;14;'wow';2025-04-16 15:30:21
22;NULL;14;'love';2025-04-16 15:30:21
7;NULL;14;'like';2025-04-16 15:30:21
31;NULL;15;'sad';2025-04-16 15:30:21
27;NULL;15;'haha';2025-04-16 15:30:21
24;NULL;15;'like';2025-04-16 15:30:21
23;NULL;15;'haha';2025-04-16 15:30:21
17;NULL;16;'wow';2025-04-16 15:30:21
19;NULL;16;'haha';2025-04-16 15:30:21
32;NULL;16;'love';2025-04-16 15:30:21
49;NULL;16;'love';2025-04-16 15:30:21
19;NULL;16;'like';2025-04-16 15:30:21
48;NULL;16;'like';2025-04-16 15:30:21
11;NULL;16;'wow';2025-04-16 15:30:21
41;NULL;16;'angry';2025-04-16 15:30:21
2;NULL;16;'angry';2025-04-16 15:30:21
20;NULL;16;'sad';2025-04-16 15:30:21
14;NULL;17;'haha';2025-04-16 15:30:21
18;NULL;17;'angry';2025-04-16 15:30:21
7;NULL;18;'angry';2025-04-16 15:30:21
11;NULL;18;'wow';2025-04-16 15:30:21
8;NULL;18;'haha';2025-04-16 15:30:21
45;NULL;18;'love';2025-04-16 15:30:21
25;NULL;18;'like';2025-04-16 15:30:21
7;NULL;18;'like';2025-04-16 15:30:21
28;NULL;19;'haha';2025-04-16 15:30:21
10;NULL;19;'wow';2025-04-16 15:30:21
42;NULL;19;'angry';2025-04-16 15:30:21
11;NULL;19;'sad';2025-04-16 15:30:21
38;NULL;19;'like';2025-04-16 15:30:21
47;NULL;19;'haha';2025-04-16 15:30:21
30;NULL;19;'love';2025-04-16 15:30:21
7;NULL;19;'love';2025-04-16 15:30:21
3;NULL;20;'haha';2025-04-16 15:30:21
2;4;NULL;'angry';2025-04-16 15:30:21
25;NULL;21;'haha';2025-04-16 15:30:21
48;NULL;21;'love';2025-04-16 15:30:21
10;NULL;21;'angry';2025-04-16 15:30:21
42;NULL;21;'sad';2025-04-16 15:30:21
50;NULL;21;'haha';2025-04-16 15:30:21
39;NULL;21;'wow';2025-04-16 15:30:21
15;NULL;21;'love';2025-04-16 15:30:21
17;NULL;21;'like';2025-04-16 15:30:21
42;NULL;21;'love';2025-04-16 15:30:21
24;NULL;21;'haha';2025-04-16 15:30:21
38;NULL;22;'angry';2025-04-16 15:30:21
42;5;NULL;'haha';2025-04-16 15:30:21
32;5;NULL;'haha';2025-04-16 15:30:21
41;5;NULL;'sad';2025-04-16 15:30:21
41;5;NULL;'wow';2025-04-16 15:30:21
11;5;NULL;'wow';2025-04-16 15:30:21
44;5;NULL;'like';2025-04-16 15:30:21
50;5;NULL;'like';2025-04-16 15:30:21
20;NULL;23;'wow';2025-04-16 15:30:21
6;NULL;23;'like';2025-04-16 15:30:21
13;NULL;24;'sad';2025-04-16 15:30:21
24;NULL;24;'love';2025-04-16 15:30:21
47;NULL;24;'love';2025-04-16 15:30:21
43;NULL;24;'love';2025-04-16 15:30:21
45;NULL;24;'like';2025-04-16 15:30:21
27;NULL;24;'haha';2025-04-16 15:30:21
9;NULL;25;'sad';2025-04-16 15:30:21
2;NULL;25;'angry';2025-04-16 15:30:21
2;NULL;25;'haha';2025-04-16 15:30:21
12;NULL;25;'sad';2025-04-16 15:30:21
32;NULL;25;'like';2025-04-16 15:30:21
12;NULL;25;'sad';2025-04-16 15:30:21
8;NULL;25;'love';2025-04-16 15:30:21
19;NULL;25;'angry';2025-04-16 15:30:21
11;6;NULL;'love';2025-04-16 15:30:21
7;6;NULL;'like';2025-04-16 15:30:21
8;6;NULL;'sad';2025-04-16 15:30:21
40;6;NULL;'love';2025-04-16 15:30:21
37;6;NULL;'angry';2025-04-16 15:30:21
49;NULL;26;'like';2025-04-16 15:30:21
20;NULL;26;'angry';2025-04-16 15:30:21
15;NULL;26;'like';2025-04-16 15:30:21
24;NULL;26;'angry';2025-04-16 15:30:21
26;NULL;26;'angry';2025-04-16 15:30:21
11;NULL;26;'angry';2025-04-16 15:30:21
8;NULL;26;'love';2025-04-16 15:30:21
15;NULL;27;'love';2025-04-16 15:30:21
6;NULL;27;'wow';2025-04-16 15:30:21
16;NULL;27;'wow';2025-04-16 15:30:21
11;NULL;27;'haha';2025-04-16 15:30:21
43;NULL;27;'like';2025-04-16 15:30:21
12;NULL;27;'wow';2025-04-16 15:30:21
11;NULL;27;'sad';2025-04-16 15:30:21
13;NULL;27;'love';2025-04-16 15:30:21
17;NULL;27;'angry';2025-04-16 15:30:21
